date,symbol,dividend,split
2007-08-09,APOLLOHOSP,1.0,0.0
2008-08-11,APOLLOHOSP,3.0,0.0
2009-08-20,APOLLOHOSP,3.25,0.0
2010-07-15,APOLLOHOSP,3.5,0.0
2010-09-02,APOLLOHOSP,0.0,2.0
2011-07-07,APOLLOHOSP,3.75,0.0
2012-07-26,APOLLOHOSP,4.0,0.0
2013-07-25,APOLLOHOSP,5.5,0.0
2014-08-13,APOLLOHOSP,5.75,0.0
2015-07-30,APOLLOHOSP,5.75,0.0
2016-03-22,APOLLOHOSP,6.0,0.0
2017-09-07,APOLLOHOSP,6.0,0.0
2018-09-12,APOLLOHOSP,5.0,0.0
2019-09-12,APOLLOHOSP,6.0,0.0
2020-02-25,APOLLOHOSP,3.25,0.0
2020-09-17,APOLLOHOSP,2.75,0.0
2021-08-18,APOLLOHOSP,3.0,0.0
2022-08-18,APOLLOHOSP,11.75,0.0
2023-02-24,APOLLOHOSP,6.0,0.0
2023-08-18,APOLLOHOSP,9.0,0.0
2024-02-20,APOLLOHOSP,6.0,0.0
2024-08-16,APOLLOHOSP,10.0,0.0
2025-02-14,APOLLOHOSP,9.0,0.0
2025-08-19,APOLLOHOSP,10.0,0.0
2026-02-16,APOLLOHOSP,10.0,0.0
2026-08-14,APOLLOHOSP,10.0,0.0
2003-07-04,BHARATFORG,0.594911,0.0
2004-07-20,BHARATFORG,0.198304,0.0
2005-07-20,BHARATFORG,0.25,5.0
2006-07-20,BHARATFORG,1.5,0.0
2007-07-19,BHARATFORG,1.75,0.0
2008-07-31,BHARATFORG,1.75,0.0
2009-07-16,BHARATFORG,0.5,0.0
2010-07-15,BHARATFORG,0.5,0.0
2011-08-04,BHARATFORG,1.75,0.0
2012-03-07,BHARATFORG,0.75,0.0
2012-07-19,BHARATFORG,1.25,0.0
2013-03-07,BHARATFORG,0.5,0.0
2013-08-01,BHARATFORG,1.2,0.0
2014-02-13,BHARATFORG,1.0,0.0
2014-08-21,BHARATFORG,1.25,0.0
2015-02-11,BHARATFORG,1.5,0.0
2015-07-20,BHARATFORG,2.25,0.0
2016-02-17,BHARATFORG,1.5,0.0
2016-03-18,BHARATFORG,2.0,0.0
2016-07-25,BHARATFORG,0.25,0.0
2017-02-16,BHARATFORG,1.25,0.0
2017-07-28,BHARATFORG,2.5,0.0
2017-09-28,BHARATFORG,0.0,2.0
2017-11-16,BHARATFORG,2.0,0.0
2018-07-27,BHARATFORG,2.5,0.0
2018-11-15,BHARATFORG,2.5,0.0
2019-08-01,BHARATFORG,2.5,0.0
2019-11-20,BHARATFORG,1.5,0.0
2020-03-03,BHARATFORG,2.0,0.0
2021-07-15,BHARATFORG,2.0,0.0
2021-11-25,BHARATFORG,1.5,0.0
2022-07-14,BHARATFORG,5.5,0.0
2022-11-24,BHARATFORG,1.5,0.0
2023-07-07,BHARATFORG,5.5,0.0
2024-02-23,BHARATFORG,2.5,0.0
2024-07-05,BHARATFORG,6.5,0.0
2025-02-18,BHARATFORG,2.5,0.0
2025-07-04,BHARATFORG,6.0,0.0
