symbol,company_name
OPTIEMUS,Optiemus Infracom Ltd.
ORIENTCEM,Orient Cement Ltd.
ORKLAINDIA,Orkla India Ltd.
OSWALPUMPS,Oswal Pumps Ltd.
PNGJL,P N Gadgil Jewellers Ltd.
PCJEWELLER,PC Jeweller Ltd.
PNCINFRA,PNC Infratech Ltd.
PTC,PTC India Ltd.
PARAS,Paras Defence and Space Technologies Ltd.
PARKHOSPS,Park Medi World Ltd.
PGIL,Pearl Global Industries Ltd.
PICCADIL,Piccadily Agro Industries Ltd.
POWERMECH,Power Mech Projects Ltd.
PRAJIND,Praj Industries Ltd.
PRICOLLTD,Pricol Ltd.
PFOCUS,Prime Focus Ltd.
PRSMJOHNSN,Prism Johnson Ltd.
PRIVISCL,Privi Speciality Chemicals Ltd.
PRUDENT,Prudent Corporate Advisory Services Ltd.
PURVA,Puravankara Ltd.
QPOWER,Quality Power Electrical Equipments Ltd.
QUESS,Quess Corp Ltd.
RAIN,Rain Industries Ltd
RALLIS,Rallis India Ltd.
RCF,Rashtriya Chemicals & Fertilizers Ltd.
RATEGAIN,Rategain Travel Technologies Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd.
RTNINDIA,RattanIndia Enterprises Ltd.
RTNPOWER,RattanIndia Power Ltd.
RAYMONDLSL,Raymond Lifestyle Ltd.
REDTAPE,Redtape Ltd.
REFEX,Refex Industries Ltd.
RELAXO,Relaxo Footwears Ltd.
RELIGARE,Religare Enterprises Ltd.
RBA,Restaurant Brands Asia Ltd.
ROUTE,Route Mobile Ltd.
RUBICON,Rubicon Research Ltd.
SKFINDUS,SKF India (Industrial) Ltd.
SKFINDIA,SKF India Ltd.
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.
SMLMAH,SML Mahindra Ltd.
SAATVIKGL,Saatvik Green Energy Ltd.
SAFARI,Safari Industries (India) Ltd.
SAMHI,Samhi Hotels Ltd.
SANDUMA,Sandur Manganese & Iron Ores Ltd.
SANOFICONR,Sanofi Consumer Healthcare India Ltd.
SANSERA,Sansera Engineering Ltd.
SENCO,Senco Gold Ltd.
STYL,Seshaasai Technologies Ltd.
SHAILY,Shaily Engineering Plastics Ltd.
SHAKTIPUMP,Shakti Pumps (India) Ltd.
SHARDACROP,Sharda Cropchem Ltd.
SHAREINDIA,Share India Securities Ltd.
SFL,Sheela Foam Ltd.
SHILPAMED,Shilpa Medicare Ltd.
RENUKA,Shree Renuka Sugars Ltd.
SHRIPISTON,Shriram Pistons & Rings Ltd.
SKIPPER,Skipper Ltd.
SMARTWORKS,Smartworks Coworking Spaces Ltd.
SOUTHBANK,South Indian Bank Ltd.
LOTUSDEV,Sri Lotus Developers and Realty Ltd.
STARCEMENT,Star Cement Ltd.
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.
STLTECH,Sterlite Technologies Ltd.
STAR,Strides Pharma Science Ltd.
STYRENIX,Styrenix Performance Materials Ltd.
SUBROS,Subros Ltd.
SUDARSCHEM,Sudarshan Chemical Industries Ltd.
SUDEEPPHRM,Sudeep Pharma Ltd.
SPARC,Sun Pharma Advanced Research Company Ltd.
SUNTECK,Sunteck Realty Ltd.
SUPRIYA,Supriya Lifescience Ltd.
SURYAROSNI,Surya Roshni Ltd.
TARC,TARC Ltd.
TDPOWERSYS,TD Power Systems Ltd.
TSFINV,TSF Investments Ltd.
TVSSCS,TVS Supply Chain Solutions Ltd.
TMB,Tamilnad Mercantile Bank Ltd.
TANLA,Tanla Platforms Ltd.
TEXRAIL,Texmaco Rail & Eng. Ltd.
THANGAMAYL,Thangamayil Jewellery Ltd.
ANUP,The Anup Engineering Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
THYROCARE,Thyrocare Technologies Ltd.
TI,Tilaknagar Industries Ltd.
TIMETECHNO,Time Technoplast Ltd.
TIPSMUSIC,Tips Music Ltd.
TRANSRAILL,Transrail Lighting Ltd.
TRIVENI,Triveni Engineering & Industries Ltd.
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.
VGUARD,V-Guard Industries Ltd.
VMART,V-Mart Retail Ltd.
VIPIND,V.I.P. Industries Ltd.
V2RETAIL,V2 Retail Ltd.
WABAG,Va Tech Wabag Ltd.
VAIBHAVGBL,Vaibhav Global Ltd.
DBREALTY,Valor Estate Ltd.
VARROC,Varroc Engineering Ltd.
MANYAVAR,Vedant Fashions Ltd.
VIKRAMSOLR,Vikram Solar Ltd.
VIYASH,Viyash Scientific Ltd.
VOLTAMP,Voltamp Transformers Ltd
WAAREERTL,Waaree Renewable Technologies Ltd.
WAKEFIT,Wakefit Innovations Ltd.
WEWORK,WeWork India Management Ltd.
WEBELSOLAR,Websol Energy System Ltd.
WELENT,Welspun Enterprises Ltd.
WESTLIFE,Westlife Foodworld Ltd.
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.
