symbol,company_name
ACMESOLAR,ACME Solar Holdings Ltd.
AADHARHFC,Aadhar Housing Finance Ltd.
AARTIIND,Aarti Industries Ltd.
AAVAS,Aavas Financiers Ltd.
ACE,Action Construction Equipment Ltd.
ACUTAAS,Acutaas Chemicals Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
ABLBL,Aditya Birla Lifestyle Brands Ltd.
ABREL,Aditya Birla Real Estate Ltd.
ABSLAMC,Aditya Birla Sun Life AMC Ltd.
CPPLUS,Aditya Infotech Ltd.
AEGISLOG,Aegis Logistics Ltd.
AEGISVOPAK,Aegis Vopak Terminals Ltd.
AFCONS,Afcons Infrastructure Ltd.
AFFLE,Affle 3i Ltd.
ABDL,Allied Blenders and Distillers Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANANTRAJ,Anant Raj Ltd.
ANGELONE,Angel One Ltd.
ANURAS,Anupam Rasayan India Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ATHERENERG,Ather Energy Ltd.
ATUL,Atul Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BELRISE,Belrise Industries Ltd.
BIKAJI,Bikaji Foods International Ltd.
BSOFT,Birlasoft Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUEJET,Blue Jet Healthcare Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
FIRSTCRY,Brainbees Solutions Ltd.
BRIGADE,Brigade Enterprises Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANHLIFE,Canara HSBC Life Insurance Company Ltd.
CAPLIPOINT,Caplin Point Laboratories Ltd.
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CARTRADE,Cartrade Tech Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CEMPRO,Cemindia Projects Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,Chennai Petroleum Corporation Ltd.
CHOICEIN,Choice International Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
