date,dd
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-25,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-02-01,0.0
2010-02-02,-0.0014999999999999458
2010-02-03,0.0
2010-02-04,-0.01360709897120338
2010-02-05,-0.052319910056309205
2010-02-06,-0.031651744548439
2010-02-08,-0.03296383316427298
2010-02-09,-0.01244328195835731
2010-02-10,-0.012086371853010536
2010-02-11,-0.010029366230997927
2010-02-15,-0.014653527399955402
2010-02-16,-0.0036587504599625564
2010-02-17,0.0
2010-02-18,-0.0038863803839523925
2010-02-19,-0.019372446497346374
2010-02-22,-0.03473009364762358
2010-02-23,-0.04731742813195439
2010-02-24,-0.05750844187992965
2010-02-25,-0.07480914360611035
2010-02-26,-0.04937341885149493
2010-03-02,-0.038532590131119204
2010-03-03,-0.028428297545090686
2010-03-04,-0.01636146325246468
2010-03-05,-0.014770696739011768
2010-03-08,-0.002961589980125745
2010-03-09,-0.0023134018877768447
2010-03-10,-0.005232184389260097
2010-03-11,-0.010818048215281095
2010-03-12,-0.010411316165118478
2010-03-15,-0.019681783998891866
2010-03-16,-0.001262795823168461
2010-03-17,0.0
2010-03-18,-0.007199349254297327
2010-03-19,-0.0009204893962733163
2010-03-22,-0.01019966820697693
2010-03-23,-0.008728539261598778
2010-03-25,-0.009787660710148804
2010-03-26,-0.010098095561401843
2010-03-29,-0.025651476751276436
2010-03-30,-0.021414677848524466
2010-03-31,-0.019959529482906913
2010-04-01,-0.0034435101534415757
2010-04-05,0.0
2010-04-06,-0.002904275356180208
2010-04-07,0.0
2010-04-08,0.0
2010-04-09,0.0
2010-04-12,0.0
2010-04-13,0.0
2010-04-15,-0.00388984800197123
2010-04-16,-0.004767720455533753
2010-04-19,-0.016016787209059302
2010-04-20,-0.0026594172150248285
2010-04-21,0.0
2010-04-22,-0.004741503942059522
2010-04-23,-0.002789382213265079
2010-04-26,0.0
