year,strat,bench
2010,0.09782050896651517,0.23230750448723758
2011,-0.11386943819859374,-0.34491471076283153
2012,0.17687881233188474,0.5182051104405478
2013,0.17771602606896097,-0.005766979836810848
2014,0.8256210430293667,0.8653146953383022
2015,-0.062115712518170274,0.21049175192493363
2016,-0.008589607892420692,0.08370354892905252
2017,0.549461008413314,0.720812686104898
2018,-0.18075066744067625,-0.21882864975544225
2019,-0.0813673248435941,-0.10165554273225108
2020,0.4701671029673362,0.3768213066696837
2021,0.5095720234670302,0.6083816233175094
2022,0.02496602977311535,0.07167734808162729
2023,0.48861959816869693,0.5203861274665404
2024,0.130174191757378,0.3029532786915863
2025,-0.022078533941921163,-0.03462718116928587
2026,0.06747670745769829,0.05500491021996434
