date,equity
2010-01-04,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-11,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-18,1.0
2010-01-19,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-25,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-02-01,1.0
2010-02-02,0.9985
2010-02-03,1.004601083241423
2010-02-04,0.9909313768751787
2010-02-05,0.9520404449237609
2010-02-06,0.9728037063815803
2010-02-08,0.9714855807368048
2010-02-09,0.9921005487069787
2010-02-10,0.9924591009854299
2010-02-11,0.9945255710615375
2010-02-15,0.9898801337421199
2010-02-16,1.0009254985660345
2010-02-17,1.007965199235971
2010-02-18,1.0040478630579537
2010-02-19,0.9884384473425851
2010-02-22,0.9729584734729603
2010-02-23,0.960270878361612
2010-02-24,0.9499986911587175
2010-02-25,0.9325601858963657
2010-02-26,0.9581985112663629
2010-03-02,0.9691256893473795
2010-03-03,0.9793104646369942
2010-03-04,0.9914734136689085
2010-03-05,0.993076850954579
2010-03-08,1.0049800196015983
2010-03-09,1.0056333706412452
2010-03-10,1.0026913394556112
2010-03-11,0.9970609831113109
2010-03-12,0.9974709548632887
2010-03-15,0.9881266459062087
2010-03-16,1.0066923449924767
2010-03-17,1.017212028572159
2010-03-18,1.0098887639127958
2010-03-19,1.0162756956860968
2010-03-22,1.0068368033845772
2010-03-23,1.0083332534433964
2010-03-25,1.0072559023662127
2010-03-26,1.00694012430143
2010-03-29,0.9911190378701216
2010-03-30,0.9954287606766422
2010-03-31,0.9969089550975055
2010-04-01,1.013709248623568
2010-04-05,1.025308784699741
2010-04-06,1.0223310056638626
2010-04-07,1.0277431693473484
2010-04-08,1.0281507694774144
2010-04-09,1.0384144412443066
2010-04-12,1.0442640542893895
2010-04-13,1.0462768892146839
2010-04-15,1.0422070311476634
2010-04-16,1.0412885334878228
2010-04-19,1.0295188949183758
2010-04-20,1.0434944024438237
2010-04-21,1.0526787526579486
2010-04-22,1.0476874722024987
2010-04-23,1.0497424292690025
2010-04-26,1.0549309613663476
2010-04-27,1.0567953076047427
2010-04-28,1.038124524893186
2010-04-29,1.0473890695660624
2010-04-30,1.0507171468614167
2010-05-03,1.0450929681016081
2010-05-04,1.0290370742302202
2010-05-05,1.0279132978964864
2010-05-06,1.0316467369680513
2010-05-07,1.0023552030919176
2010-05-10,1.0281129928546857
2010-05-11,1.0177977259677928
2010-05-12,1.0150257352200551
2010-05-13,1.0267630678578126
2010-05-14,1.0170813727645398
2010-05-16,1.0170813727645398
2010-05-17,1.0170813727645398
2010-05-18,1.024679556552543
2010-05-19,1.0006462011180988
2010-05-20,0.996098328576268
2010-05-21,0.982970248555127
2010-05-24,0.986495636676542
2010-05-25,0.9534269641953381
2010-05-26,0.9739600044913713
2010-05-27,0.9810633857588176
2010-05-28,0.9810633857588176
2010-05-31,0.9810633857588176
2010-06-01,0.9795917906801793
2010-06-02,0.9891866446114429
2010-06-03,0.9877028646445257
2010-06-04,0.9882395720543057
2010-06-07,0.977388992538624
2010-06-08,0.9712999334687362
2010-06-09,0.9712999334687362
2010-06-10,0.9712999334687362
2010-06-11,0.969842983568533
2010-06-14,0.9852954361335193
2010-06-15,0.9932911948405682
2010-06-16,0.9947071500380045
2010-06-17,1.0012530403559838
2010-06-18,1.0007684828525272
2010-06-21,1.0105173783656785
2010-06-22,1.0143148904269828
2010-06-23,1.023692891268287
2010-06-24,1.0271454143874368
2010-06-25,1.0216888604624188
2010-06-28,1.0269280676909245
2010-06-29,1.020404091468336
2010-06-30,1.0235034239377367
2010-07-01,1.0231207974552392
2010-07-02,1.0283950679348897
2010-07-05,1.033315966861849
2010-07-06,1.042207079276241
2010-07-07,1.0419463331349694
2010-07-08,1.048460560348989
2010-07-09,1.0494306848050434
2010-07-12,1.053733102705751
2010-07-13,1.0579077752118016
2010-07-14,1.0565193124488472
2010-07-15,1.056565670298627
2010-07-16,1.063770076142053
2010-07-19,1.0648607718574095
2010-07-20,1.063011118598283
2010-07-21,1.0643925698777437
2010-07-22,1.0732747049517026
2010-07-23,1.0685988884184965
2010-07-26,1.0583768767323616
2010-07-27,1.05869266318061
2010-07-28,1.057706235296793
2010-07-29,1.0612961579826141
2010-07-30,1.0585875394670043
2010-08-02,1.0708554948671196
2010-08-03,1.0718271482146915
2010-08-04,1.0813805699442527
2010-08-05,1.0849831616033414
2010-08-06,1.089790758013088
2010-08-09,1.1021576484994562
2010-08-10,1.0993375434397248
2010-08-11,1.0978237078387296
2010-08-12,1.0976128781114112
2010-08-13,1.1084185010380694
2010-08-16,1.1053230702818841
2010-08-17,1.1142221934399184
2010-08-18,1.1240980669210219
2010-08-19,1.1335279248724637
2010-08-20,1.1331199699928025
2010-08-23,1.1457192998468142
2010-08-24,1.138980853392437
2010-08-25,1.1204912357277694
2010-08-26,1.1224128469978378
2010-08-27,1.1111418175288903
2010-08-30,1.1072519746263172
2010-08-31,1.09671312318646
2010-09-01,1.1213449161119866
2010-09-02,1.131535814557908
2010-09-03,1.1443040702035667
2010-09-06,1.1640401364321324
2010-09-07,1.17302854952851
2010-09-08,1.1791490859579887
2010-09-09,1.1856402982117877
2010-09-13,1.1883526592751505
2010-09-14,1.1807436933461626
2010-09-15,1.1789474643337756
2010-09-16,1.1713990947719255
2010-09-17,1.1865219850712645
2010-09-20,1.192836465251555
2010-09-21,1.1773661614913828
2010-09-22,1.1729360134680593
2010-09-23,1.1740430697779918
2010-09-24,1.1903976463789125
2010-09-27,1.1916042597086929
2010-09-28,1.1902222673027352
2010-09-29,1.1845366943958553
2010-09-30,1.1873128656360525
2010-10-01,1.2025044191154026
2010-10-04,1.2058194576432462
2010-10-05,1.2144721090713542
2010-10-06,1.2219011703547764
2010-10-07,1.2137589383117866
2010-10-08,1.2094164787844723
2010-10-11,1.2254810843765074
2010-10-12,1.2251248004931306
2010-10-13,1.237303899682572
2010-10-14,1.2339406888378552
2010-10-15,1.2228718011025443
2010-10-18,1.2185746930341688
2010-10-19,1.2236850571951514
2010-10-20,1.217423432385468
2010-10-21,1.2308888192296574
2010-10-22,1.2394799115942268
2010-10-25,1.2478463833966877
2010-10-26,1.2456697099621123
2010-10-27,1.2417905526534962
2010-10-28,1.2350378153545993
2010-10-29,1.2210010845226908
2010-11-01,1.2326591756033327
2010-11-02,1.2389384328860844
2010-11-03,1.2460365210328757
2010-11-04,1.2531454925275771
2010-11-05,1.2678064232176705
2010-11-08,1.2710938641070928
2010-11-09,1.2837288097929627
2010-11-10,1.2925447520940545
2010-11-11,1.2816948180901946
2010-11-12,1.2502529512623357
2010-11-15,1.2482288331837583
2010-11-16,1.2154496260710372
