symbol,valid_from,valid_to,source,source_url,circular_no,notes
EQUITAS,2017-03-31,2020-08-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/44703
ESCORTS,2000-01-01,2025-05-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67382.pdf,NSE/FAOP/67382,exclusion without prior introduction in coverage
ESCORTS,2017-03-31,2025-05-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/67222
FORCEMOT,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
FORTIS,2017-04-28,2018-04-02,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by FAOP37105.pdf
FORTIS,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
FSL,2021-10-29,2023-03-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,closed by NSE/FAOP/55309
FSL,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68129.pdf,NSE/FAOP/68129,
GLAND,2025-01-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66262.pdf,NSE/FAOP/66262,
GNFC,2021-12-31,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50456.pdf,NSE/FAOP/50456,closed by NSE/FAOP/65702
GODFRYPHLP,2017-04-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/40801
GODFRYPHLP,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
GODREJCP,2016-01-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31484.pdf,,
GODREJIND,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
GODREJPROP,2020-03-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43992.pdf,NSE/FAOP/43992,
GRANULES,2016-02-26,2021-02-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,
GRANULES,2021-02-26,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/68691
GSFC,2017-04-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/40801
GSKCONS,2000-01-01,2014-05-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP26230.pdf,,exclusion without prior introduction in coverage
GSPL,2021-10-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,
GUJGASLTD,2021-02-26,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/65702
HAL,2021-08-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,
HCC,2017-05-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34899.pdf,,
HDFC,2000-01-01,2023-07-13,circular,https://nsearchives.nseindia.com/content/circulars/FAOP57430.pdf,NSE/FAOP/57430,exclusion without prior introduction in coverage
HDFCAMC,2021-01-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP46705.pdf,NSE/FAOP/46705,
HDFCLIFE,2020-02-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43693.pdf,NSE/FAOP/43693,
HDIL,2000-01-01,2018-04-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP37009.pdf,,exclusion without prior introduction in coverage
HEXAWARE,2000-01-01,2019-12-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP42491.pdf,NSE/FAOP/42491,exclusion without prior introduction in coverage
HFCL,2024-11-29,2025-12-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/70954
HINDCOPPER,2021-12-31,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/68113
HINDZINC,2000-01-01,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP41670.pdf,NSE/FAOP/41670,exclusion without prior introduction in coverage
HINDZINC,2025-03-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67324.zip,NSE/FAOP/67324,
HONAUT,2021-12-31,2023-04-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/55717
HUDCO,2024-11-29,2026-04-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/72950
HYUNDAI,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
IBREALEST,2000-01-01,2017-12-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP35837.pdf,,exclusion without prior introduction in coverage
IBULHSGFIN,2014-11-28,2023-12-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,closed by NSE/FAOP/58991
ICICIGI,2020-10-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP46193.pdf,NSE/FAOP/46193,
ICICIPRULI,2017-06-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP35191.pdf,,
ICIL,2016-02-26,2018-01-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,closed by FAOP36329.pdf
IDBI,2000-01-01,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP41670.pdf,NSE/FAOP/41670,exclusion without prior introduction in coverage
IDFC,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
IDFC,2021-12-31,2024-10-10,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/64349
IDFCBANK,2016-09-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP33302.pdf,,
IEX,2021-08-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,
IFCI,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
IGL,2000-01-01,2025-11-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP70455.pdf,NSE/FAOP/70455,exclusion without prior introduction in coverage
IIFL,2025-02-28,2026-01-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66878.zip,NSE/FAOP/66878,closed by NSE/FAOP/71438
INDHOTEL,2021-06-25,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP48731.pdf,NSE/FAOP/48731,
INDIACEM,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
INDIACEM,2021-10-01,2024-08-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,closed by NSE/FAOP/62623
INDIAMART,2021-08-27,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,closed by NSE/FAOP/65702
INDIANB,2017-03-31,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/40801
INDIANB,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
INDIGO,2017-03-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,
INFIBEAM,2017-03-31,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/40801
INFRATEL,2015-09-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,
INOXWIND,2025-03-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67324.zip,NSE/FAOP/67324,
INTELLECT,2022-01-28,2023-07-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP51131.pdf,NSE/FAOP/51131,closed by NSE/FAOP/56765
IOB,2000-01-01,2016-07-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP32249.pdf,,exclusion without prior introduction in coverage
IPCALAB,2021-08-27,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,closed by NSE/FAOP/65702
IRB,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
IRB,2024-11-29,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/68691
IRCTC,2021-02-26,2026-02-25,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/71942
IREDA,2025-02-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66878.zip,NSE/FAOP/66878,
IRFC,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
JETAIRWAYS,2016-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31484.pdf,,closed by NSE/FAOP/40801
JIOFIN,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
JISLJALEQS,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
JKCEMENT,2021-10-01,2025-03-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49456.pdf,NSE/FAOP/49456,closed by NSE/FAOP/66251
JPASSOCIAT,2000-01-01,2019-03-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP39991.pdf,NSE/FAOP/39991,exclusion without prior introduction in coverage
JPPOWER,2000-01-01,2015-09-25,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30304.pdf,,exclusion without prior introduction in coverage
JSL,2024-11-29,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/68691
JSWENERGY,2000-01-01,2018-01-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP36323.pdf,,exclusion without prior introduction in coverage
JSWENERGY,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
JUSTDIAL,2014-03-13,2020-07-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP26146.pdf,,closed by NSE/FAOP/44444
KAJARIACER,2017-05-26,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34899.pdf,,closed by NSE/FAOP/41670
KALYANKJIL,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
KAYNES,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
KEI,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
KFINTECH,2025-06-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68764.zip,NSE/FAOP/68764,
KPIT,2016-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,
KPITTECH,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
KSCL,2015-05-29,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/40801
KTKBANK,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
L&TFH,2014-03-13,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP26146.pdf,,
LALPATHLAB,2021-01-01,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP46857.pdf,NSE/FAOP/46857,closed by NSE/FAOP/65702
LAURUSLABS,2021-10-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,
LICI,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
LODHA,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
LTI,2019-05-31,2021-02-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40873.pdf,NSE/FAOP/40873,
LTI,2021-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,
LTTS,2021-02-26,2025-03-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/66251
M&MFIN,2000-01-01,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67710.pdf,NSE/FAOP/67710,exclusion without prior introduction in coverage
MANAPPURAM,2017-06-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP35191.pdf,,
MANKIND,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
MARICO,2015-09-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,
MAXHEALTH,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
MAZDOCK,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
MCDOWELL-N,2016-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,
MCLEODRUSS,2000-01-01,2017-02-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP33838.pdf,,exclusion without prior introduction in coverage
MCX,2017-04-28,2019-09-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/41670
MCX,2021-08-27,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,
METROPOLIS,2021-06-25,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP48731.pdf,NSE/FAOP/48731,closed by NSE/FAOP/65702
MFSL,2017-03-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,
MGL,2017-04-28,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/68113
MINDTREE,2014-09-10,2022-11-23,circular,https://nsearchives.nseindia.com/content/circulars/FAOP27549.pdf,,closed by NSE/FAOP/54465
MOTHERSUMI,2014-09-10,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP27549.pdf,,
MOTILALOFS,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
MPHASIS,2019-05-31,2021-02-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40873.pdf,NSE/FAOP/40873,
MPHASIS,2021-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,
MRF,2000-01-01,2025-05-30,circular,https://nsearchives.nseindia.com/content/circulars/FAOP67382.pdf,NSE/FAOP/67382,exclusion without prior introduction in coverage
MRPL,2017-04-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/40801
MUTHOOTFIN,2017-03-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,
NAM-INDIA,2021-02-26,2022-08-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/52755
NAM-INDIA,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
NATIONALUM,2017-05-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34899.pdf,,
NAUKRI,2020-02-28,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43693.pdf,NSE/FAOP/43693,
NAVINFLUOR,2021-02-26,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,closed by NSE/FAOP/65702
NBCC,2017-04-28,2020-01-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/42713
NBCC,2021-12-31,2022-07-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/52394
NBCC,2025-01-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66379.zip,NSE/FAOP/66379,
NCC,2015-09-28,2020-07-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,closed by NSE/FAOP/44444
