symbol,valid_from,valid_to,source,source_url,circular_no,notes
RPOWER,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
RVNL,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
SAMMAANCAP,2025-08-29,2026-07-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP69887.zip,NSE/FAOP/69887,closed by NSE/FAOP/73769
SBICARD,2021-10-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,
SBILIFE,2020-05-04,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP44275.pdf,NSE/FAOP/44275,
SHREECEM,2017-03-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,
SINTEX,2016-07-01,2017-09-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP32712.pdf,,closed by FAOP35145.pdf
SJVN,2024-11-29,2025-08-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,closed by NSE/FAOP/68691
SKSMICRO,2014-09-10,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP27549.pdf,,
SOLARINDS,2025-01-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66379.zip,NSE/FAOP/66379,
SONACOMS,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
SOUTHBANK,2015-05-29,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,closed by NSE/FAOP/40801
SREINFRA,2017-06-30,2019-03-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP35191.pdf,,closed by NSE/FAOP/39749
SRF,2015-05-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP29823.pdf,,
STAR,2014-11-28,2019-11-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,closed by NSE/FAOP/41959
STAR,2021-07-30,2022-07-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49096.pdf,NSE/FAOP/49096,closed by NSE/FAOP/52054
SUNTV,2000-01-01,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65702.pdf,NSE/FAOP/65702,exclusion without prior introduction in coverage
SUPREMEIND,2021-12-31,2024-11-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50812.pdf,NSE/FAOP/50812,
SUPREMEIND,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
SUZLON,2017-03-31,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/40801
SUZLON,2025-08-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP69432.zip,NSE/FAOP/69432,
SWIGGY,2025-12-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP72070.zip,NSE/FAOP/72070,
SYNDIBANK,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
SYNGENE,2021-08-27,2026-04-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP49416.pdf,NSE/FAOP/49416,closed by NSE/FAOP/72468
TATACHEM,2000-01-01,2025-10-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP69265.pdf,NSE/FAOP/69265,exclusion without prior introduction in coverage
TATACOMM,2000-01-01,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP40801.pdf,NSE/FAOP/40801,exclusion without prior introduction in coverage
TATACOMM,2021-12-31,2025-08-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50804.pdf,NSE/FAOP/50804,closed by NSE/FAOP/67710
TATAELXSI,2016-02-26,2019-12-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31823.pdf,,closed by NSE/FAOP/42491
TATAELXSI,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
TATAMTRDVR,2000-01-01,2020-01-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP42713.pdf,NSE/FAOP/42713,exclusion without prior introduction in coverage
TATATECH,2025-02-28,2026-04-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66878.zip,NSE/FAOP/66878,closed by NSE/FAOP/72950
TIINDIA,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
TITAGARH,2025-02-28,2025-12-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66878.zip,NSE/FAOP/66878,closed by NSE/FAOP/70954
TORNTPHARM,2016-01-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP31484.pdf,,
TORNTPOWER,2016-09-30,2023-03-31,circular,https://nsearchives.nseindia.com/content/circulars/FAOP33302.pdf,,closed by NSE/FAOP/55309
TORNTPOWER,2025-01-31,2026-04-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP66379.zip,NSE/FAOP/66379,closed by NSE/FAOP/72950
TRENT,2021-02-26,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP47453.pdf,NSE/FAOP/47453,
TV18BRDCST,2015-09-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP30828.pdf,,closed by NSE/FAOP/40801
TVSMOTOR,2014-09-10,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP27549.pdf,,
UBL,2000-01-01,2025-02-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65702.pdf,NSE/FAOP/65702,exclusion without prior introduction in coverage
UCOBANK,2000-01-01,2016-07-01,circular,https://nsearchives.nseindia.com/content/circulars/FAOP32249.pdf,,exclusion without prior introduction in coverage
UJJIVAN,2017-03-31,2020-08-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34443.pdf,,closed by NSE/FAOP/44703
UNIONBANK,2000-01-01,2019-12-27,circular,https://nsearchives.nseindia.com/content/circulars/FAOP42491.pdf,NSE/FAOP/42491,exclusion without prior introduction in coverage
UNIONBANK,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
UNITECH,2000-01-01,2016-07-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP32406.pdf,,exclusion without prior introduction in coverage
UNOMINDA,2025-05-30,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP68243.zip,NSE/FAOP/68243,
VBL,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
VGUARD,2017-04-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP34744.pdf,,closed by NSE/FAOP/40801
VMM,2026-04-01,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP73533.zip,NSE/FAOP/73533,
WAAREEENER,2025-12-31,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP72070.zip,NSE/FAOP/72070,
WHIRLPOOL,2021-10-29,2023-05-26,circular,https://nsearchives.nseindia.com/content/circulars/FAOP50128.pdf,NSE/FAOP/50128,closed by NSE/FAOP/56137
WOCKPHARMA,2014-11-28,2019-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP28174.pdf,,closed by NSE/FAOP/40801
YESBANK,2000-01-01,2020-05-29,circular,https://nsearchives.nseindia.com/content/circulars/FAOP43797.pdf,NSE/FAOP/43797,exclusion without prior introduction in coverage
YESBANK,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
ZEEL,2000-01-01,2024-06-28,circular,https://nsearchives.nseindia.com/content/circulars/FAOP61622.pdf,NSE/FAOP/61622,exclusion without prior introduction in coverage
ZOMATO,2024-11-29,,circular,https://nsearchives.nseindia.com/content/circulars/FAOP65295.zip,NSE/FAOP/65295,
