ticker,period,promoter_pct,fii_pct,dii_pct,public_pct,total_shares,promoter_d1q,promoter_d4q,fii_d1q,fii_d4q,dii_d1q,dii_d4q,public_d4q,worst_promoter_qtr,smart_money_score
20MICRONS,2018-06,43.36,,,56.64,35286502.0,,,,,,,,,0.0
20MICRONS,2018-09,43.85,,,56.15,35286502.0,0.490000000000002,,,,,,,0.490000000000002,0.0
20MICRONS,2018-12,43.89,,,56.11,35286502.0,0.03999999999999915,,,,,,,0.03999999999999915,0.0
20MICRONS,2019-03,44.03,,,55.97,35286502.0,0.14000000000000057,,,,,,,0.03999999999999915,0.0
20MICRONS,2019-06,44.03,,,55.98,35286502.0,0.0,0.6700000000000017,,,,,-0.6600000000000037,0.0,0.0
20MICRONS,2019-09,44.03,,,55.97,35286502.0,0.0,0.17999999999999972,,,,,-0.17999999999999972,0.0,0.0
20MICRONS,2019-12,44.03,,,55.97,35286502.0,0.0,0.14000000000000057,,,,,-0.14000000000000057,0.0,0.0
20MICRONS,2020-03,44.83,,,55.17,35286502.0,0.7999999999999972,0.7999999999999972,,,,,-0.7999999999999972,0.0,0.0
20MICRONS,2020-06,44.83,,,55.17,35286502.0,0.0,0.7999999999999972,,,,,-0.8099999999999952,0.0,0.0
20MICRONS,2020-09,44.83,,,55.17,35286502.0,0.0,0.7999999999999972,,,,,-0.7999999999999972,0.0,0.0
20MICRONS,2020-12,44.83,,,55.17,35286502.0,0.0,0.7999999999999972,,,,,-0.7999999999999972,0.0,0.0
20MICRONS,2021-03,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2021-06,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2021-09,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2021-12,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2022-03,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2022-06,44.83,,,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2022-09,44.83,1.02,0.13,55.17,35286502.0,0.0,0.0,,,,,0.0,0.0,0.0
20MICRONS,2022-12,44.83,0.73,0.13,55.17,35286502.0,0.0,0.0,-0.29000000000000004,,0.0,,0.0,0.0,0.0
20MICRONS,2023-03,44.83,0.93,0.0,55.17,35286502.0,0.0,0.0,0.20000000000000007,,-0.13,,0.0,0.0,0.0
20MICRONS,2023-06,44.83,0.72,0.0,55.17,35286502.0,0.0,0.0,-0.21000000000000008,,0.0,,0.0,0.0,0.0
20MICRONS,2023-09,44.95,0.72,0.0,55.05,35286502.0,0.12000000000000455,0.12000000000000455,0.0,-0.30000000000000004,0.0,-0.13,-0.12000000000000455,0.0,-0.43000000000000005
20MICRONS,2023-12,44.95,0.72,0.0,55.05,35286502.0,0.0,0.12000000000000455,0.0,-0.010000000000000009,0.0,-0.13,-0.12000000000000455,0.0,-0.14
20MICRONS,2024-03,44.95,0.73,0.0,55.05,35286502.0,0.0,0.12000000000000455,0.010000000000000009,-0.20000000000000007,0.0,0.0,-0.12000000000000455,0.0,-0.20000000000000007
20MICRONS,2024-06,44.95,0.78,0.06,55.05,35286502.0,0.0,0.12000000000000455,0.050000000000000044,0.06000000000000005,0.06,0.06,-0.12000000000000455,0.0,0.12000000000000005
20MICRONS,2024-09,44.99,1.0,0.02,55.01,35286502.0,0.03999999999999915,0.03999999999999915,0.21999999999999997,0.28,-0.039999999999999994,0.02,-0.03999999999999915,0.0,0.30000000000000004
20MICRONS,2024-12,45.04,0.87,0.02,54.96,35286502.0,0.04999999999999716,0.0899999999999963,-0.13,0.15000000000000002,0.0,0.02,-0.0899999999999963,0.0,0.17
20MICRONS,2025-03,45.04,0.84,0.15,54.96,35286502.0,0.0,0.0899999999999963,-0.030000000000000027,0.10999999999999999,0.13,0.15,-0.0899999999999963,0.0,0.26
20MICRONS,2025-06,45.04,0.88,0.15,54.96,35286502.0,0.0,0.0899999999999963,0.040000000000000036,0.09999999999999998,0.0,0.09,-0.0899999999999963,0.0,0.18999999999999997
20MICRONS,2025-09,45.04,0.26,0.18,54.96,35286502.0,0.0,0.04999999999999716,-0.62,-0.74,0.03,0.16,-0.04999999999999716,0.0,-0.58
20MICRONS,2025-12,45.04,0.26,0.07,54.96,35286502.0,0.0,0.0,0.0,-0.61,-0.10999999999999999,0.05,0.0,0.0,-0.5599999999999999
20MICRONS,2026-03,45.04,0.41,0.11,54.96,35286502.0,0.0,0.0,0.14999999999999997,-0.43,0.039999999999999994,-0.039999999999999994,0.0,0.0,-0.47
21STCENMGM,2018-06,55.23,,,44.78,10500000.0,,,,,,,,,0.0
21STCENMGM,2018-09,55.23,,,44.78,10500000.0,0.0,,,,,,,0.0,0.0
21STCENMGM,2018-12,55.23,,,44.78,10500000.0,0.0,,,,,,,0.0,0.0
21STCENMGM,2019-03,55.23,,,44.77,10500000.0,0.0,,,,,,,0.0,0.0
