symbol,segment
AVIANSH,SME
AVL,EQ
AVONMORE,EQ
AVPINFRA,SME
AVROIND,EQ
AVSL,SME
AVTNPL,EQ
AWFIS,EQ
AWHCL,EQ
AWL,EQ
AXISBANK,EQ
AXISCADES,EQ
AXITA,EQ
AYE,EQ
AYMSYNTEX,EQ
AZAD,EQ
BABAFP,SME
BAFNAPH,EQ
BAGDIGITAL,SME
BAGFILMS,EQ
BAHETI,SME
BAIDFIN,EQ
BAJAJ-AUTO,EQ
BAJAJCON,EQ
BAJAJELEC,EQ
BAJAJFINSV,EQ
BAJAJHCARE,EQ
BAJAJHFL,EQ
BAJAJHIND,EQ
BAJAJHLDNG,EQ
BAJAJINDEF,EQ
BAJAJST,EQ
BAJEL,EQ
BAJFINANCE,EQ
BALAJEE,EQ
BALAJIPHOS,SME
BALAJITELE,EQ
BALAMINES,EQ
BALAXI,EQ
BALCO,SME
BALKRISHNA,EQ
BALKRISIND,EQ
BALMLAWRIE,EQ
BALPHARMA,EQ
BALRAMCHIN,EQ
BALUFORGE,EQ
BANARBEADS,EQ
BANARISUG,EQ
BANCOINDIA,EQ
BANDHANBNK,EQ
BANG,EQ
BANKA,EQ
BANKBARODA,EQ
BANKINDIA,EQ
BANSALWIRE,EQ
BANSWRAS,EQ
BARFLEX,SME
BASF,EQ
BASILIC,SME
BASML,EQ
BATAINDIA,EQ
BATLIBOI,EQ
BAWEJA,SME
BAYERCROP,EQ
BBL,EQ
BBOX,EQ
BBTC,EQ
BBTCL,EQ
BCG,EQ
BCLIND,EQ
BCONCEPTS,EQ
BCPL,EQ
BDL,EQ
BEACON,SME
BEARDSELL,EQ
BECTORFOOD,EQ
BEDMUTHA,EQ
BEEKAY,EQ
BEL,EQ
BELLACASA,EQ
BELRISE,EQ
BEML,EQ
BENGALASM,EQ
BEPL,EQ
BERGEPAINT,EQ
BESTAGRO,EQ
BETA,EQ
BEWLTD,SME
BFINVEST,EQ
BFUTILITIE,EQ
BGRENERGY,EQ
BHADORA,SME
BHAGCHEM,EQ
BHAGERIA,EQ
BHAGYANGR,EQ
BHANDARI,EQ
BHARATCOAL,EQ
BHARATFORG,EQ
BHARATGEAR,EQ
BHARATRAS,EQ
BHARATSE,EQ
BHARATWIRE,EQ
BHARTIARTL,EQ
BHARTIHEXA,EQ
BHEL,EQ
BI,EQ
BIGBLOC,EQ
BIKAJI,EQ
BIKEWO,SME
BIL,EQ
BIMETAL,EQ
BIOCON,EQ
BIOFILCHEM,EQ
BIOPOL,SME
BIRDYS,SME
BIRLACABLE,EQ
BIRLACORPN,EQ
BIRLAMONEY,EQ
BIRLANU,EQ
BIRLAPREC,EQ
BLACKBUCK,EQ
BLACKROSE,EQ
BLAL,EQ
BLBLIMITED,EQ
BLIL,EQ
BLISSGVS,EQ
BLKASHYAP,EQ
BLS,EQ
BLSE,EQ
BLUECHIP,EQ
BLUECOAST,EQ
BLUEDART,EQ
BLUEJET,EQ
BLUEPEBBLE,SME
BLUESTARCO,EQ
BLUESTONE,EQ
BLUEWATER,SME
BLUSPRING,EQ
BMETRICS,SME
BMWVENTLTD,EQ
BNAGROCHEM,EQ
BNALTD,EQ
BODALCHEM,EQ
BOHRAIND,EQ
BOMDYEING,EQ
BONLON,EQ
BORANA,EQ
BOROLTD,EQ
BORORENEW,EQ
BOROSCI,EQ
BOSCH-HCIL,EQ
BOSCHLTD,EQ
BOSS,SME
BPCL,EQ
BPL,EQ
BRACEPORT,SME
BRANDMAN,SME
BRIGADE,EQ
BRIGHOTEL,EQ
BRITANNIA,EQ
BRNL,EQ
BROOKS,EQ
BSE,EQ
BSHSL,EQ
BSL,EQ
BSOFT,EQ
BTML,EQ
BTTL,EQ
BUILDPRO,EQ
BULKCORP,SME
BUTTERFLY,EQ
BVCL,EQ
BYKE,EQ
C2C,SME
CADSYS,SME
CALSOFT,EQ
CAMLINFINE,EQ
CAMPUS,EQ
CAMS,EQ
CANARYS,SME
CANBK,EQ
CANFINHOME,EQ
CANHLIFE,EQ
CANTABIL,EQ
CAPACITE,EQ
CAPILLARY,EQ
CAPITALSFB,EQ
CAPLIPOINT,EQ
CAPTRUST,EQ
CARBORUNIV,EQ
CARERATING,EQ
CARRARO,EQ
CARTRADE,EQ
CARYSIL,EQ
CASTROLIND,EQ
CBAZAAR,SME
CCAVENUE,EQ
CCCL,EQ
CCHHL,EQ
CCL,EQ
CDSL,EQ
CEATLTD,EQ
CEDAAR,SME
CEIGALL,EQ
CEINSYS,EQ
CELEBRITY,EQ
CELLECOR,SME
CELLO,EQ
CELLPOINT,SME
CEMPRO,EQ
CENTENKA,EQ
CENTEXT,EQ
CENTRALBK,EQ
CENTRUM,EQ
CENTUM,EQ
CENTURYPLY,EQ
CERA,EQ
CEREBRAINT,EQ
CESC,EQ
CEWATER,EQ
CGCL,EQ
CGPOWER,EQ
CGRAPHICS,SME
CHALET,EQ
CHAMBLFERT,EQ
CHAMUNDA,SME
CHANDAN,SME
CHAVDA,SME
CHEMBOND,EQ
CHEMBONDCH,EQ
CHEMCON,EQ
CHEMFAB,EQ
CHEMPLASTS,EQ
CHENNPETRO,EQ
CHETANA,SME
CHEVIOT,EQ
CHOICEIN,EQ
CHOLAFIN,EQ
CHOLAHLDNG,EQ
CIEINDIA,EQ
CIFL,EQ
CIGNITITEC,EQ
CINELINE,EQ
CINEVISTA,EQ
CIPLA,EQ
CKKRETAIL,SME
CLASSICEIL,SME
CLEAN,EQ
CLEANMAX,EQ
CLEDUCATE,EQ
CLSEL,EQ
CLSL,SME
CMNL,SME
CMPDI,EQ
CMRSL,SME
CMSINFO,EQ
CNL,EQ
COALINDIA,EQ
COASTCORP,EQ
COCHINSHIP,EQ
COCKERILL,EQ
COFFEEDAY,EQ
COFORGE,EQ
COHANCE,EQ
COLPAL,EQ
COMFINTE,EQ
COMMITTED,SME
COMPINFO,EQ
COMPUSOFT,EQ
COMSYN,EQ
CONCOR,EQ
CONCORDBIO,EQ
CONFIPET,EQ
CONNPLEX,SME
CONSOFINVT,EQ
CONTI,SME
CONTROLPR,EQ
COOLCAPS,SME
CORALFINAC,EQ
CORDSCABLE,EQ
COROMANDEL,EQ
CORONA,EQ
COSMOFIRST,EQ
COUNCODOS,EQ
CPCAP,EQ
CPEDU,EQ
CPPLUS,EQ
CPS,SME
CRAFTSMAN,EQ
CRAMC,EQ
CRAYONS,SME
CREATIVEYE,EQ
CREDITACC,EQ
CREST,EQ
CRISIL,EQ
CRIZAC,EQ
CROMPTON,EQ
CROWN,EQ
CSBBANK,EQ
CSLFINANCE,EQ
CSSL,SME
CTE,EQ
CUB,EQ
CUBEXTUB,EQ
CUDML,SME
CUMMINSIND,EQ
CUPID,EQ
CURAA,EQ
CURIS,SME
CURRENT,SME
CYBERMEDIA,EQ
CYBERTECH,EQ
CYIENT,EQ
CYIENTDLM,EQ
DABUR,EQ
DAICHI,EQ
DALBHARAT,EQ
DALMIASUG,EQ
DAMCAPITAL,EQ
DAMODARIND,EQ
DANGEE,EQ
DANISH,SME
DATAMATICS,EQ
DATAPATTNS,EQ
DAVANGERE,EQ
DBCORP,EQ
DBEIL,EQ
DBL,EQ
DBOL,EQ
DBREALTY,EQ
DBSTOCKBRO,EQ
DCAL,EQ
DCBBANK,EQ
DCCL,SME
DCG,SME
DCI,EQ
DCM,EQ
DCMFINSERV,EQ
DCMNVL,EQ
DCMSHRIRAM,EQ
DCMSIL,EQ
DCMSRIND,EQ
DCW,EQ
DCXINDIA,EQ
DDEVPLSTIK,EQ
DECCANCE,EQ
DECCANTRAN,SME
DECNGOLD,EQ
DEEDEV,EQ
DEEM,SME
DEEPAKFERT,EQ
DEEPAKNTR,EQ
DEEPINDS,EQ
DELAPLEX,SME
DELHIVERY,EQ
DELPHIFX,EQ
DELTACORP,EQ
DELTAMAGNT,EQ
DELTIC,SME
DEN,EQ
DENEERS,SME
DENORA,EQ
DENTA,EQ
DENTALKART,SME
DESTINY,SME
DEVIT,EQ
DEVX,EQ
DEVYANI,EQ
DGCONTENT,EQ
DHAMPURSUG,EQ
DHANBANK,EQ
DHANLAXMI,SME
DHANUKA,EQ
DHARARAIL,SME
DHARIWAL,SME
DHARMAJ,EQ
DHRUV,EQ
DHTL,SME
DHUNINV,EQ
DIACABS,EQ
DIAMINESQ,EQ
DIAMONDYD,EQ
DICIND,EQ
DIFFNKG,EQ
DIGIDRIVE,EQ
DIGIKORE,SME
DIGISPICE,EQ
DIGITIDE,EQ
DIGJAMLMTD,EQ
DIRL,SME
DISAQ,EQ
DISHTV,EQ
DIVGIITTS,EQ
DIVINEHIRA,SME
DIVISLAB,EQ
DIVYADHAN,SME
DIXON,EQ
DJML,EQ
DKEGL,SME
DLF,EQ
DLINKINDIA,EQ
DMART,EQ
DMCC,EQ
DNAMEDIA,EQ
DODLA,EQ
DOLATALGO,EQ
DOLLAR,EQ
DOLLEX,SME
DOLPHIN,EQ
DOMS,EQ
DONEAR,EQ
DPABHUSHAN,EQ
DPEL,SME
DPSCLTD,EQ
DPWIRES,EQ
DRAGARWQ,EQ
DRCSYSTEMS,EQ
DREAMFOLKS,EQ
DREDGECORP,EQ
DRONE,SME
DRREDDY,EQ
DRSCARGO,SME
DRSDILIP,SME
DSFCL,EQ
DSSL,EQ
DTIL,EQ
DTL,SME
DUCOL,SME
DUCON,EQ
DUGLOBAL,SME
DURLAX,SME
DVL,EQ
DWARKESH,EQ
DYCL,EQ
DYNAMATECH,EQ
DYNAMIC,SME
DYNPRO,EQ
E2E,EQ
E2ERAIL,SME
EASEMYTRIP,EQ
EASTSILK,EQ
EBGNG,EQ
ECLERX,EQ
ECOLINE,SME
ECOSMOBLTY,EQ
EDELWEISS,EQ
EEPL,SME
EFACTOR,SME
EFCIL,EQ
EFFWA,SME
EFORCE,SME
EICHERMOT,EQ
EIDPARRY,EQ
EIEL,EQ
EIFFL,EQ
EIHAHOTELS,EQ
EIHOTEL,EQ
EIMCOELECO,EQ
EKC,EQ
ELANTAS,EQ
ELCIDIN,EQ
ELDEHSG,EQ
ELECON,EQ
ELECTCAST,EQ
ELECTHERM,EQ
ELGIEQUIP,EQ
ELGIRUBCO,EQ
ELGNZ,SME
ELIN,EQ
ELITECON,EQ
ELLEN,EQ
ELPROINTL,EQ
EMAMILTD,EQ
EMAMIPAP,EQ
EMAMIREAL,EQ
EMAPARTNER,SME
EMBDL,EQ
EMCURE,EQ
EMIL,EQ
EMKAY,EQ
EMKAYTOOLS,SME
EMMBI,EQ
EMMIL,SME
EMMVEE,EQ
EMPOWER,EQ
EMSLIMITED,EQ
EMUDHRA,EQ
ENCOMPAS,SME
ENDURANCE,EQ
ENERGYDEV,EQ
ENFUSE,SME
ENGINERSIN,EQ
ENIL,EQ
ENRIN,EQ
ENSER,SME
ENTERO,EQ
ENVIRO,SME
EPACK,EQ
EPACKPEB,EQ
EPIGRAL,EQ
EPL,EQ
EPWINDIA,SME
EQUIPPP,EQ
EQUITASBNK,EQ
ERIS,EQ
ESABINDIA,EQ
ESAFSFB,EQ
ESCONET,SME
ESCORTS,EQ
ESFL,SME
ESPRIT,SME
ESSARSHPNG,EQ
ESSENTIA,EQ
ESTER,EQ
ETERNAL,EQ
ETHOSLTD,EQ
ETL,SME
ETML,SME
EUREKAFORB,EQ
EUROBOND,EQ
EUROPRATIK,EQ
EUROTEXIND,EQ
EVEREADY,EQ
EVERESTIND,EQ
EXCELINDUS,EQ
EXCELLENT,SME
EXCELSOFT,EQ
EXICOM,EQ
EXIDEIND,EQ
EXIMROUTES,SME
EXPLEOSOL,EQ
EXXARO,EQ
FABTECH,EQ
FACT,EQ
FAIRCHEMOR,EQ
FALCONTECH,SME
FAZE3Q,EQ
FCL,EQ
FCSSOFT,EQ
FDC,EQ
FEDDERSHOL,EQ
FEDERALBNK,EQ
FEDFINA,EQ
FEL,EQ
FELDVR,EQ
FELIX,SME
FERMENTA,EQ
FIBERWEB,EQ
FIDEL,SME
FIEMIND,EQ
FILATEX,EQ
FILATFASH,EQ
FINBUD,SME
FINCABLES,EQ
FINEORG,EQ
FINKURVE,EQ
FINOPB,EQ
FINPIPE,EQ
FIRSTCRY,EQ
FISCHER,EQ
FIVESTAR,EQ
FLAIR,EQ
FLEXITUFF,EQ
FLFL,EQ
FLUOROCHEM,EQ
FLYSBS,SME
FMGOETZE,EQ
FMNL,EQ
FOCE,SME
FOCUS,EQ
FONEBOX,SME
FOODSIN,EQ
FORCAS,SME
FORCEMOT,EQ
FORGEAUTO,SME
FORTIS,EQ
FOSECOIND,EQ
FRACTAL,EQ
FRESHARA,SME
FROG,SME
FRONTSP,EQ
FSL,EQ
FUSION,EQ
FWSTC,SME
GABRIEL,EQ
GAEL,EQ
GAIL,EQ
GAJANAND,SME
GALAPREC,EQ
GALAXYSURF,EQ
GALLANTT,EQ
GANDHAR,EQ
GANDHITUBE,EQ
GANECOS,EQ
GANESHBE,EQ
GANESHCP,EQ
GANESHHOU,EQ
GANESHIN,SME
GANGABATH,SME
GANGAFORGE,EQ
GANGESSECU,EQ
GARFIBRES,EQ
GARUDA,EQ
GATECH,EQ
GATECHDVR,EQ
GATEWAY,EQ
GAUDIUMIVF,EQ
GAYAHWS,EQ
GAYAPROJ,EQ
GCHOTELS,SME
GCSL,EQ
GEECEE,EQ
GEEKAYWIRE,EQ
GEMAROMA,EQ
GENCON,EQ
GENESYS,EQ
GENUSPAPER,EQ
GENUSPOWER,EQ
GEOJITFSL,EQ
GESHIP,EQ
GFLLIMITED,EQ
GGBL,SME
GHCL,EQ
GHCLTEXTIL,EQ
GICHSGFIN,EQ
GICL,EQ
GICRE,EQ
GILLANDERS,EQ
GILLETTE,EQ
GINNIFILA,EQ
GIPCL,EQ
GIRIRAJ,SME
GJL,SME
GKENERGY,EQ
GKSL,EQ
GKWLIMITED,EQ
GLAND,EQ
GLAXO,EQ
GLENMARK,EQ
GLFL,EQ
GLOBAL,EQ
GLOBALE,EQ
GLOBALPET,SME
GLOBALVECT,EQ
GLOBE,EQ
GLOBECIVIL,EQ
GLOBUSSPR,EQ
GLOSTERLTD,EQ
GLOTTIS,EQ
GMBREW,EQ
GMDCLTD,EQ
GML,SME
GMMPFAUDLR,EQ
GMRAIRPORT,EQ
GMRP&UI,EQ
GNA,EQ
GNFC,EQ
GNRL,EQ
GOACARBON,EQ
GOCLCORP,EQ
GOCOLORS,EQ
GODAVARIB,EQ
GODFRYPHLP,EQ
GODIGIT,EQ
GODREJAGRO,EQ
GODREJCP,EQ
GODREJIND,EQ
GODREJPROP,EQ
GOKEX,EQ
GOKUL,EQ
GOKULAGRO,EQ
GOLDENTOBC,EQ
GOLDIAM,EQ
GOLDKART,SME
GOLDSTAR,SME
GOLDTECH,EQ
GOODLUCK,EQ
GOODYEAR,EQ
GOPAL,EQ
GOYALALUM,EQ
GOYALSALT,SME
GPECO,SME
GPIL,EQ
GPPL,EQ
GPTHEALTH,EQ
GPTINFRA,EQ
GRADIENTE,EQ
GRANDOAK,EQ
GRANULES,EQ
GRAPHISAD,SME
GRAPHITE,EQ
GRASIM,EQ
GRAUWEIL,EQ
GRAVISSHO,EQ
GRAVITA,EQ
GRCL,SME
GREAVESCOT,EQ
GREENCHEF,SME
GREENLAM,EQ
GREENLEAF,SME
GREENPANEL,EQ
GREENPLY,EQ
GREENPOWER,EQ
GRETEX,SME
GRINDWELL,EQ
GRINFRA,EQ
GRMOVER,EQ
GROBTEA,EQ
GROWW,EQ
GRPLTD,EQ
GRSE,EQ
GRWRHITECH,EQ
GSFC,EQ
GSLSU,EQ
GSMFOILS,SME
GSPCROP,EQ
GSPL,EQ
GSS,EQ
GSTL,SME
GTECJAINX,EQ
GTL,EQ
GTLINFRA,EQ
GTPL,EQ
GUFICBIO,EQ
GUJALKALI,EQ
GUJAPOLLO,EQ
GUJGASLTD,EQ
GUJRAFFIA,EQ
GUJTHEM,EQ
GULFOILLUB,EQ
GULFPETRO,EQ
GULPOLY,EQ
GURUNANAK,SME
GVKPIL,EQ
GVPIL,EQ
GVPTECH,EQ
GVT&D,EQ
HAL,EQ
HALDER,EQ
HALDYNGL,EQ
HALEOSLABS,EQ
HAPPSTMNDS,EQ
HAPPYFORGE,EQ
HARDWYN,EQ
HARIOMPIPE,EQ
HARRMALAYA,EQ
HARSHA,EQ
HATHWAY,EQ
HATSUN,EQ
HAVELLS,EQ
HAVISHA,EQ
HAWKINCOOK,EQ
HBESD,EQ
HBLENGINE,EQ
HBSL,EQ
HCC,EQ
HCG,EQ
HCL-INSYS,EQ
HCLTECH,EQ
HDBFS,EQ
HDFCAMC,EQ
HDFCBANK,EQ
HDFCLIFE,EQ
HDIL,EQ
HEADSUP,EQ
HEALTHX,EQ
HECPROJECT,EQ
HEG,EQ
HEIDELBERG,EQ
HEMIPROP,EQ
HERANBA,EQ
HERITGFOOD,EQ
HEROMOTOCO,EQ
HESTERBIO,EQ
HEXATRADEX,EQ
HEXT,EQ
HFCL,EQ
HGINFRA,EQ
HGM,EQ
HGS,EQ
HIGREEN,SME
HIKAL,EQ
HILINFRA,EQ
HILTON,EQ
HIMATSEIDE,EQ
HINDALCO,EQ
HINDCOMPOS,EQ
HINDCON,EQ
HINDCOPPER,EQ
HINDOILEXP,EQ
HINDPETRO,EQ
HINDUNILVR,EQ
HINDWAREAP,EQ
HINDZINC,EQ
HIRECT,EQ
HISARMETAL,EQ
HITECH,EQ
HITECHCORP,EQ
HITECHGEAR,EQ
HLEGLAS,EQ
HLVLTD,EQ
HMAAGRO,EQ
HMT,EQ
HMVL,EQ
HNDFDS,EQ
HOACFOODS,SME
HOLMARC,SME
HOMEFIRST,EQ
HOMESFY,SME
HONASA,EQ
HONAUT,EQ
HONDAPOWER,EQ
HPAL,EQ
HPIL,EQ
HPL,EQ
HPTL,SME
HRHNEXT,SME
HSCL,EQ
HTMEDIA,EQ
HUBTOWN,EQ
HUDCO,EQ
HUHTAMAKI,EQ
HVAX,SME
HYBRIDFIN,EQ
HYUNDAI,EQ
IBLFL,SME
IBULLSLTD,EQ
ICDSLTD,EQ
ICEMAKE,EQ
ICICIAMC,EQ
ICICIBANK,EQ
ICICIGI,EQ
ICICIPRULI,EQ
ICIL,EQ
ICRA,EQ
IDBI,EQ
IDEA,EQ
IDEAFORGE,EQ
IDEALTECHO,SME
IDENTICAL,SME
IDFCFIRSTB,EQ
IEML,SME
IEX,EQ
IFBAGRO,EQ
IFBIND,EQ
IFCI,EQ
IFGLEXPOR,EQ
IGARASHI,EQ
IGCL,EQ
IGIL,EQ
IGL,EQ
IGPL,EQ
IIFL,EQ
IIFLCAPS,EQ
IITL,EQ
IKIO,EQ
IKS,EQ
IL&FSENGG,EQ
IL&FSTRANS,EQ
IMAGICAA,EQ
IMFA,EQ
IMPAL,EQ
IMPEXFERRO,EQ
INA,EQ
INCREDIBLE,EQ
INDBANK,EQ
INDGN,EQ
INDHOTEL,EQ
INDIACEM,EQ
INDIAGLYCO,EQ
INDIAMART,EQ
INDIANB,EQ
INDIANCARD,EQ
INDIANHUME,EQ
INDIASHLTR,EQ
INDIFRA,SME
INDIGO,EQ
INDIGOPNTS,EQ
INDIQUBE,EQ
INDNIPPON,EQ
INDOAMIN,EQ
INDOBORAX,EQ
INDOCO,EQ
INDOFARM,EQ
INDORAMA,EQ
INDOSTAR,EQ
INDOTECH,EQ
INDOTHAI,EQ
INDOUS,EQ
INDOWIND,EQ
INDPRUD,EQ
INDRAMEDCO,EQ
INDSWFTLAB,EQ
INDTERRAIN,EQ
INDUSINDBK,EQ
INDUSTOWER,EQ
INFINIUM,SME
INFLUX,SME
INFOBEAN,EQ
INFOLLION,SME
INFOMEDIA,EQ
INFY,EQ
INGERRAND,EQ
INM,SME
INNOMET,SME
INNOVACAP,EQ
INNOVANA,EQ
INNOVISION,EQ
INOXGREEN,EQ
INOXINDIA,EQ
INOXWIND,EQ
INSECTICID,EQ
INSPIRE,SME
INSPIRISYS,EQ
INTEGRITY,SME
INTELLECT,EQ
INTENTECH,EQ
INTERARCH,EQ
INTLCONV,EQ
INVENTURE,EQ
INVICTA,SME
INVPRECQ,EQ
IOB,EQ
IOC,EQ
IOLCP,EQ
IONEXCHANG,EQ
IPCALAB,EQ
IPHL,SME
IPL,EQ
IPSL,SME
IRB,EQ
IRCON,EQ
IRCTC,EQ
IREDA,EQ
IRFC,EQ
IRIS,EQ
IRISDOREME,EQ
IRMENERGY,EQ
ISFT,EQ
ISGEC,EQ
ISHAN,SME
ISHANCH,EQ
ITALIANE,SME
ITC,EQ
ITCHOTELS,EQ
ITDC,EQ
ITI,EQ
ITTL,SME
IVALUE,EQ
IVC,EQ
IVP,EQ
IWARE,SME
IWP,EQ
IXIGO,EQ
IZMO,EQ
J&KBANK,EQ
JAGRAN,EQ
JAGSNPHARM,EQ
JAIBALAJI,EQ
JAICORPLTD,EQ
JAINAM,SME
JAINIK,SME
JAINREC,EQ
JAIPURKURT,EQ
JAKHARIA,SME
JALAN,SME
JAMNAAUTO,EQ
JARO,EQ
JASH,EQ
JAYAGROGN,EQ
JAYBARMARU,EQ
JAYBEE,SME
JAYESH,SME
JAYKAY,EQ
JAYNECOIND,EQ
JAYSREETEA,EQ
JBCHEPHARM,EQ
JBMA,EQ
JETFREIGHT,EQ
JETKNIT,SME
JEYYAM,SME
JFLLIFE,SME
JGCHEM,EQ
JHS,EQ
JINDALPHOT,EQ
JINDALPOLY,EQ
JINDALSAW,EQ
JINDALSTEL,EQ
