lb,hold,tn,is_sh,is_cagr,is_mdd,oos_sh,oos_cagr,oos_mdd,oos_pf,alpha,beta,ir,turn
120,20,10,0.8336584873106655,0.1931463512281435,-0.23838663507373503,0.8625375509503586,0.2183417024561367,-0.37774748029895544,1.2391884215641467,-0.0038819503596400576,1.0031721273081136,-0.774361207898782,3.047887273188509
250,20,20,0.6530447682163286,0.15428434731579488,-0.21318994210279485,0.8599825984107982,0.21738428283461908,-0.3767474748525559,1.239166479144149,-0.004242285327276996,1.0002151900841754,-1.0890688891488192,3.0360897763618713
250,20,10,0.6863853789739219,0.15991757663030803,-0.2345624650861814,0.8590471340164624,0.21707985300289456,-0.37278632304892667,1.2388200023997058,-0.004157191029335385,0.9977116730460494,-0.37063767886953275,3.065694816725804
120,20,15,0.7761079955193672,0.1832442800173375,-0.2409550626692567,0.8585239847968843,0.21732949312938632,-0.3782929732680247,1.2386915688957048,-0.004483973264711538,1.001701301628151,-1.8114517841796576,3.037838603404609
20,20,10,1.0570815093703714,0.23639767996413652,-0.24056379881403112,0.85708367175601,0.2168929939583466,-0.37894985455541685,1.238284689917269,-0.004657136062352827,1.000691776209713,-30.707282984985557,3.031881361135894
20,20,20,1.057176773013765,0.23454445550565217,-0.23934479352110527,0.8570836717560087,0.21689299395834638,-0.37894985455541663,1.238284689917269,-0.004657136062352827,1.000691776209713,-30.707282984985557,3.031881361135894
120,20,20,0.7622726684113103,0.18060387531863853,-0.2446888346736399,0.8570836717560075,0.21689299395834616,-0.3789498545554172,1.238284689917269,-0.004657136062352827,1.000691776209713,-30.707282984985557,3.031881361135894
20,20,15,1.0576150137314095,0.23519101273442944,-0.24010855728096236,0.8570836717560064,0.21689299395834594,-0.3789498545554172,1.2382846899172688,-0.004657136062352936,1.000691776209713,-30.70728298497959,3.0318813611358926
60,20,20,1.0009154363387942,0.2286278085000515,-0.23708462541450892,0.8570836717560063,0.21689299395834594,-0.37894985455541674,1.238284689917269,-0.004657136062352827,1.000691776209713,-30.707282984985557,3.031881361135894
60,20,15,0.9898200106180253,0.22773624027511596,-0.23400043312655594,0.8570836717560052,0.21689299395834571,-0.3789498545554172,1.2382846899172688,-0.004657136062352936,1.000691776209713,-30.70728298497959,3.0318813611358926
60,20,10,0.9877888722789193,0.2301513509153741,-0.23438889230994564,0.8568063086145509,0.21688162828471258,-0.37806045387240483,1.2383473808021943,-0.004722140434213013,1.000913660134847,-3.33744688178653,3.0333057089556283
250,20,15,0.6496160331717682,0.1545698457437612,-0.2066484056299217,0.8541817887342541,0.2163575247371181,-0.3765034710646057,1.2380237249698296,-0.005066255063070281,1.0002319623342226,-0.9410770875128723,3.048170176413346
