lb,ma,tn,is_sh,oos_sh,oos_cagr,oos_mdd,oos_calmar
10,60,10,0.5089473945604543,0.6510830219583054,0.15138617714648217,-0.2294475317071717,0.6597855989999756
10,60,15,0.6286975487133507,0.6436358208429462,0.1496159658373175,-0.2268894426285405,0.6594223340848265
10,60,20,0.6743567201546579,0.6462175686867256,0.14930048974091537,-0.22760609874250504,0.6559599701668001
10,100,10,0.23168955311097186,0.7714602230195119,0.1691993768936464,-0.18546033296466413,0.9123211103362143
10,100,15,0.3258738465620797,0.7618135577168752,0.16702950996673027,-0.18452937835101269,0.9051648656671131
10,100,20,0.35645396022207254,0.7678569162454119,0.1670912408127201,-0.17952352018105067,0.9307484648485472
10,150,10,0.3144455981238674,0.7840428624630812,0.1716428224959594,-0.20592361079607846,0.8335266744420748
10,150,15,0.41172226909139203,0.7807302571828247,0.1703170174565516,-0.2031302277992253,0.838462198865319
10,150,20,0.4488555443945531,0.7846428296517046,0.1700913541336735,-0.19503449537220274,0.8721090790071372
10,200,10,0.4622818495836273,0.6224564069068507,0.15089087762439668,-0.2098048744873151,0.7191962436197812
10,200,15,0.5617684523751603,0.6176987997537133,0.14950314851931745,-0.2062428910868872,0.7248887354683847
10,200,20,0.5934436538252588,0.622187223700246,0.1495437261302024,-0.20470169806208627,0.7305446293115048
20,60,10,0.60648656298817,0.6340382382264271,0.14830221454664483,-0.2293646462053266,0.6465783502392304
20,60,15,0.6829962435398759,0.6366838856830279,0.14800777754745265,-0.22749080462257953,0.6506099347312352
20,60,20,0.6479677486128498,0.6384100269361673,0.1478455150104072,-0.22604282423781386,0.6540597584060565
20,100,10,0.31055527036079345,0.7518237793621255,0.16566580836956457,-0.18466799622888286,0.8971008065969025
20,100,15,0.37205993118991376,0.753852061829936,0.16516162805042178,-0.17955824588458869,0.9198220178458396
20,100,20,0.3403567762126207,0.757510854146045,0.16521157741839665,-0.17972695225596447,0.9192365159739913
20,150,10,0.3988683204256667,0.7688393572862251,0.16867435021870247,-0.2044208959147079,0.8251326238638528
20,150,15,0.45126966008310526,0.7686560084995245,0.16783545854082638,-0.20056128234245962,0.8368288065402688
20,150,20,0.43779823903915127,0.7747441448440089,0.16824856898957408,-0.19541314550298639,0.8609890013105738
20,200,10,0.5501465521308005,0.6027973343209663,0.14738451377500583,-0.21232095370355308,0.6941590606303848
20,200,15,0.5997471552280386,0.6061303895522163,0.1472262248284908,-0.20382031757500163,0.7223334090543482
20,200,20,0.5883374148677348,0.6117593023521424,0.14768337996237246,-0.20219437416761765,0.7304030123011436
40,60,10,0.691840696105179,0.6520923322143942,0.15155833437242094,-0.22936339264155214,0.6607782202161419
40,60,15,0.7143135539941393,0.6183627863623947,0.14558838004571162,-0.22710086718179479,0.6410736420885957
40,60,20,0.7367811673035247,0.6295266685218887,0.1469294755258801,-0.22621083132137088,0.6495244930033516
40,100,10,0.39636074447056413,0.7674464875353816,0.16876294332652964,-0.1819284589608161,0.9276335560170821
40,100,15,0.39188673836884624,0.7390473291128984,0.16324599282218033,-0.18413847042104403,0.8865393116870595
40,100,20,0.4257741946925767,0.7469450306997593,0.16411440854610326,-0.17996522745942323,0.911922880119195
40,150,10,0.47769062791619704,0.7753504271889272,0.17055694844376745,-0.20091311775591292,0.8489089729371239
40,150,15,0.47540415874353065,0.7560326019781031,0.16624450661487078,-0.20299203097188934,0.8189706059835058
40,150,20,0.506131808331831,0.7631649842840754,0.16700204412206854,-0.19816137235976627,0.8427578096243333
40,200,10,0.6384424857208956,0.6050794765162973,0.14850840261410836,-0.21336817040734035,0.696019478118932
40,200,15,0.6291569412796522,0.5915482678667082,0.1452715428384812,-0.20634770745042086,0.7040133599419106
40,200,20,0.6588071846740136,0.6015464675525747,0.14653456517429375,-0.20265096676202876,0.7230884091777761
60,60,10,0.725862101180453,0.6318271385901061,0.14976327535425327,-0.22932147235635136,0.6530713143230235
60,60,15,0.7916166456788776,0.6284222069491118,0.14774777702676523,-0.22729196192820467,0.65003520482363
60,60,20,0.7081252554311023,0.6295913298336978,0.1471304652012171,-0.2288561085296944,0.6428950756283908
60,100,10,0.39879263922606734,0.7429373297891828,0.1665591278547367,-0.1920560189494196,0.8672424262766906
60,100,15,0.4307133249370571,0.7434701284189238,0.16482468781402315,-0.18630799301926648,0.8846892993849078
60,100,20,0.3670536506491898,0.7490478814121618,0.164637775808127,-0.18067369035153258,0.9112437759354731
60,150,10,0.48431432714158446,0.7545259505683602,0.16889719971512407,-0.2090412435114266,0.8079611318705718
60,150,15,0.497571938038893,0.7548389561067124,0.16711938321852493,-0.20299704137410612,0.8232601918100779
60,150,20,0.44324474991803026,0.7693182850837768,0.1681477903960893,-0.19907905722673502,0.8446282232720366
60,200,10,0.646826005460567,0.5881469592205784,0.14712484114878088,-0.2194989367369884,0.6702758716552291
60,200,15,0.6589232020937352,0.590633943821861,0.14597811019126317,-0.21092063949837414,0.6920996946455229
60,200,20,0.6028994573042574,0.6024751970745273,0.1468808554848693,-0.2081862206006957,0.7055263074619572
