kind,p,is_sh,oos_sh,oos_cagr,oos_mdd
yearret,252,0.6653842894176002,0.8617623853540946,0.21704627548509747,-0.37192556976145064
momentum,120,0.7761079955193672,0.8585239847968843,0.21732949312938632,-0.3782929732680247
reversal,20,1.0350951112431281,0.8570836717560101,0.2168929939583466,-0.3789498545554173
reversal,10,1.072617500871945,0.8570836717560089,0.21689299395834638,-0.37894985455541697
momentum,20,1.0576150137314095,0.8570836717560064,0.21689299395834594,-0.3789498545554172
momentum,60,0.9898200106180253,0.8570836717560052,0.21689299395834571,-0.3789498545554172
reversal,5,1.0644792920669859,0.8570836717560052,0.21689299395834571,-0.37894985455541697
momentum,250,0.6496160331717682,0.8541817887342541,0.2163575247371181,-0.3765034710646057
lowvol,60,1.1110760615509008,0.841347661277139,0.20914036474653552,-0.3637932442513465
lowvol,120,0.8876191640641212,0.8259021515808427,0.1996434072765083,-0.3457817629012573
lowvol,250,0.6332057816068971,0.8157743579007324,0.19498408235728992,-0.3466088963479088
