lb,ma,tn,is_sh,oos_sh,oos_cagr,oos_mdd,oos_calmar
10,60,10,0.600979919872396,0.7642870064136972,0.1550178492546781,-0.18503214708487892,0.8377887393997947
10,60,15,0.55632370650968,0.764287006413702,0.15501784925467854,-0.18503214708487625,0.8377887393998091
10,60,20,0.5645307669744437,0.7642870064137025,0.15501784925467876,-0.18503214708487703,0.8377887393998068
10,100,10,0.2730525211429689,0.6859330454375111,0.14652402068237858,-0.18039647201440556,0.8122332939564245
10,100,15,0.2271655545375403,0.6859330454375138,0.1465240206823788,-0.18039647201440434,0.8122332939564312
10,100,20,0.23084383746337472,0.6859330454375129,0.1465240206823788,-0.18039647201440567,0.8122332939564252
10,150,10,0.376641677174761,0.6335848224389939,0.14124220806942,-0.20315892828827897,0.6952301297287795
10,150,15,0.3311746690917871,0.633584822439,0.14124220806942067,-0.20315892828827564,0.6952301297287942
10,150,20,0.33521503953458864,0.6335848224389957,0.14124220806942023,-0.20315892828827897,0.6952301297287806
10,200,10,0.4313607021997553,0.42780496764530695,0.11665083030538104,-0.22677597453202059,0.5143879573050189
10,200,15,0.3858712190141245,0.4278049676453092,0.11665083030538126,-0.2267759745320198,0.5143879573050215
10,200,20,0.38759686404021215,0.4278049676453087,0.11665083030538126,-0.22677597453202125,0.5143879573050183
20,60,10,0.5973848347031991,0.7642870064136936,0.15501784925467765,-0.18503214708487792,0.8377887393997968
20,60,15,0.5625401583023852,0.764287006413702,0.15501784925467854,-0.18503214708487625,0.8377887393998091
20,60,20,0.5470422773895378,0.764287006413699,0.15501784925467832,-0.1850321470848767,0.8377887393998059
20,100,10,0.2620799970985034,0.6859330454375058,0.1465240206823779,-0.18039647201440578,0.8122332939564197
20,100,15,0.223518910496106,0.6859330454375155,0.14652402068237902,-0.18039647201440379,0.812233293956435
20,100,20,0.21261823563454338,0.685933045437504,0.1465240206823777,-0.18039647201440578,0.8122332939564185
20,150,10,0.36963150551471885,0.6335848224389871,0.14124220806941912,-0.20315892828827986,0.6952301297287721
20,150,15,0.3289011421697634,0.6335848224389949,0.14124220806942,-0.20315892828827586,0.6952301297287902
20,150,20,0.31685701172442915,0.6335848224389957,0.14124220806942023,-0.2031589282882783,0.6952301297287828
20,200,10,0.41622434576927214,0.42780496764531034,0.11665083030538148,-0.22677597453202059,0.5143879573050207
20,200,15,0.37986848689177855,0.42780496764531256,0.1166508303053817,-0.22677597453202014,0.5143879573050227
20,200,20,0.368424588394034,0.427804967645312,0.1166508303053817,-0.2267759745320208,0.5143879573050213
40,60,10,0.529056755301541,0.7642870064136972,0.1550178492546781,-0.1850321470848777,0.8377887393998001
40,60,15,0.5155033691592984,0.7642870064137037,0.15501784925467876,-0.18503214708487736,0.8377887393998052
40,60,20,0.5164877094728789,0.764287006413699,0.15501784925467832,-0.18503214708487803,0.8377887393997999
40,100,10,0.1760087255205717,0.6859330454375093,0.14652402068237835,-0.18039647201440578,0.8122332939564223
40,100,15,0.17064482054154692,0.685933045437512,0.14652402068237858,-0.18039647201440456,0.812233293956429
40,100,20,0.16204461070502738,0.6859330454375075,0.14652402068237813,-0.18039647201440523,0.8122332939564235
40,150,10,0.27665322656796315,0.6335848224389957,0.14124220806942023,-0.20315892828827764,0.6952301297287852
40,150,15,0.27600380680470205,0.6335848224389984,0.14124220806942045,-0.2031589282882762,0.6952301297287912
40,150,20,0.2658347217056162,0.6335848224389939,0.14124220806942,-0.20315892828827842,0.6952301297287814
40,200,10,0.3346657333807323,0.42780496764530695,0.11665083030538104,-0.2267759745320217,0.5143879573050163
40,200,15,0.3291535037733261,0.4278049676453142,0.11665083030538193,-0.2267759745320198,0.5143879573050245
40,200,20,0.3209089470390266,0.42780496764531034,0.11665083030538148,-0.22677597453202114,0.5143879573050195
60,60,10,0.5834120289533078,0.7642870064136954,0.15501784925467788,-0.18503214708487858,0.8377887393997949
60,60,15,0.5372030689143392,0.764287006413702,0.15501784925467854,-0.18503214708487636,0.8377887393998086
60,60,20,0.5070555378419527,0.7642870064136972,0.1550178492546781,-0.1850321470848777,0.8377887393998001
60,100,10,0.21638764889611178,0.6859330454375022,0.14652402068237746,-0.18039647201440656,0.8122332939564139
60,100,15,0.17706597093822324,0.6859330454375102,0.14652402068237835,-0.18039647201440467,0.8122332939564273
60,100,20,0.14755955528230288,0.6859330454375093,0.14652402068237835,-0.18039647201440534,0.8122332939564243
60,150,10,0.33827022588230304,0.6335848224389922,0.14124220806941978,-0.20315892828827864,0.6952301297287795
60,150,15,0.28800110019965436,0.6335848224389984,0.14124220806942045,-0.20315892828827575,0.6952301297287927
60,150,20,0.2528450992584408,0.6335848224389992,0.14124220806942067,-0.2031589282882792,0.6952301297287821
60,200,10,0.3939665549931486,0.42780496764531034,0.11665083030538148,-0.22677597453201992,0.5143879573050223
60,200,15,0.34331416017195937,0.4278049676453142,0.11665083030538193,-0.22677597453201914,0.514387957305026
60,200,20,0.31187028824626056,0.4278049676453087,0.11665083030538126,-0.22677597453202158,0.5143879573050175
